pipeline,summary_type,precision_mean,precision_std,recall_mean,recall_std,mAP50_mean,mAP50_std,mAP50_95_mean,mAP50_95_std,train_box_loss_mean,train_box_loss_std,train_cls_loss_mean,train_cls_loss_std,train_dfl_loss_mean,train_dfl_loss_std,val_box_loss_mean,val_box_loss_std,val_cls_loss_mean,val_cls_loss_std,val_dfl_loss_mean,val_dfl_loss_std
A_N0,final_epoch,0.7584266666666667,0.013140735646581329,0.6933066666666666,0.011684114572073174,0.75299,0.008115559130460448,0.5315733333333333,0.006144601967038547,0.67006,0.000737495762699686,0.5872966666666667,0.004727804282469109,1.0229733333333335,0.0014294521094926267,1.0483066666666667,0.0020457109603591174,1.0014366666666665,0.01068046035212584,1.2620566666666668,0.001519879381179124
A_N1,final_epoch,0.7740633333333333,0.0200140958659974,0.6756033333333334,0.00826826059902158,0.7524433333333334,0.0049256200963263205,0.5311233333333333,0.004075123720003229,0.6701366666666666,0.0002450170062124619,0.5879533333333333,0.003849212040578349,1.0235533333333333,0.0020360828404888775,1.04564,0.0011966202405107344,0.9997699999999999,0.008029364856575016,1.26182,0.004866692922303601
B_N0,final_epoch,0.7609266666666666,0.012202173303691957,0.6642566666666667,0.011162550485141566,0.7354833333333334,0.0036830603217070223,0.5158133333333333,0.0028865261705609594,0.6919400000000001,0.0038974735406414342,0.61437,0.002280000000000032,1.03867,0.0016525434941325556,1.06935,0.009147168960940798,1.0446833333333334,0.007170392829778135,1.2824866666666666,0.008343094949317752
B_N1,final_epoch,0.7675533333333333,0.032658489452718556,0.6623533333333333,0.02050647296180732,0.7339166666666667,0.003096454962264653,0.51549,0.0040312653100484834,0.6922233333333333,0.002311716533949044,0.6143566666666667,0.002725808748487927,1.0390866666666667,0.001108166654133474,1.0707366666666667,0.0022101885289116845,1.0434733333333333,0.0036423115371058126,1.2844366666666667,0.004258078596425008
C_N0,final_epoch,0.7651,0.027796228161389124,0.6879133333333334,0.019627537627867023,0.75483,0.0058967448647537744,0.5297733333333333,0.0061403772956824965,0.67407,0.0008016857239592459,0.59121,0.00849624034499965,1.0270266666666668,0.002095861000480124,1.05443,0.0017332916661658353,0.99975,0.012136560468271019,1.2687966666666666,0.0013518259256772604
C_N1,final_epoch,0.7617433333333334,0.01858591222763447,0.6840166666666666,0.015148984564429795,0.7499766666666666,0.005384629358956225,0.5270799999999999,0.006671978716992452,0.6770966666666668,0.0032430592552917287,0.5944666666666667,0.007159709025744922,1.0273066666666668,0.0013573626388452785,1.0525133333333334,0.00016653327995725273,1.0036166666666666,0.0026926257321309493,1.2699366666666665,0.002803075691688338
A_N0,best_epoch,0.7584266666666667,0.013140735646581329,0.6933066666666666,0.011684114572073174,0.75299,0.008115559130460448,0.5315733333333333,0.006144601967038547,0.67006,0.000737495762699686,0.5872966666666667,0.004727804282469109,1.0229733333333335,0.0014294521094926267,1.0483066666666667,0.0020457109603591174,1.0014366666666665,0.01068046035212584,1.2620566666666668,0.001519879381179124
A_N1,best_epoch,0.7740633333333333,0.0200140958659974,0.6756033333333334,0.00826826059902158,0.7524433333333334,0.0049256200963263205,0.5311233333333333,0.004075123720003229,0.6701366666666666,0.0002450170062124619,0.5879533333333333,0.003849212040578349,1.0235533333333333,0.0020360828404888775,1.04564,0.0011966202405107344,0.9997699999999999,0.008029364856575016,1.26182,0.004866692922303601
B_N0,best_epoch,0.7609266666666666,0.012202173303691957,0.6642566666666667,0.011162550485141566,0.7354833333333334,0.0036830603217070223,0.5158133333333333,0.0028865261705609594,0.6919400000000001,0.0038974735406414342,0.61437,0.002280000000000032,1.03867,0.0016525434941325556,1.06935,0.009147168960940798,1.0446833333333334,0.007170392829778135,1.2824866666666666,0.008343094949317752
B_N1,best_epoch,0.76032,0.03269390768935396,0.6681499999999999,0.018487744589321814,0.7338399999999999,0.003227863070206084,0.5157566666666668,0.0035699346399245824,0.6931233333333333,0.0009235980366660774,0.6137166666666666,0.0032809195865387106,1.0377266666666667,0.0033298698673272283,1.0713266666666668,0.0031323207583728307,1.0444633333333333,0.004647820277649845,1.2836466666666666,0.0028952777644524683
C_N0,best_epoch,0.77958,0.010496204075759973,0.6743566666666667,0.005818198461150405,0.7542233333333334,0.006242574255331947,0.52986,0.006036248835162413,0.6768433333333332,0.005488463658742149,0.5897466666666666,0.006200131719030919,1.0264033333333333,0.0026477600596227385,1.0558533333333333,0.004192759632191325,1.0002666666666666,0.012887083973239705,1.2696866666666666,0.0028759404259013467
C_N1,best_epoch,0.7617433333333334,0.01858591222763447,0.6840166666666666,0.015148984564429795,0.7499766666666666,0.005384629358956225,0.5270799999999999,0.006671978716992452,0.6770966666666668,0.0032430592552917287,0.5944666666666667,0.007159709025744922,1.0273066666666668,0.0013573626388452785,1.0525133333333334,0.00016653327995725273,1.0036166666666666,0.0026926257321309493,1.2699366666666665,0.002803075691688338
